Date : 2023-04-21 21:53:48
Directory : c:\xampp\htdocs\cscs
Total : 3485 files,  632248 codes, 103588 comments, 107325 blanks, all 843161 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| JavaScript   |        962 |    377,744 |     72,561 |     65,272 |    515,577 |
| CSS          |        348 |    111,257 |      1,300 |     20,065 |    132,622 |
| PHP          |      1,447 |     80,897 |     28,863 |     17,788 |    127,548 |
| XML          |        530 |     46,268 |          0 |        529 |     46,797 |
| SCSS         |         79 |      8,131 |        758 |      1,743 |     10,632 |
| JSON         |         35 |      4,730 |          0 |         41 |      4,771 |
| Markdown     |         75 |      2,974 |          0 |      1,803 |      4,777 |
| SQLite       |          1 |        132 |        104 |         53 |        289 |
| YAML         |          2 |         89 |          1 |         25 |        115 |
| HTML         |          2 |         13 |          0 |          4 |         17 |
| Batch        |          3 |         12 |          0 |          2 |         14 |
| Shell Script |          1 |          1 |          1 |          0 |          2 |
+--------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                |      3,485 |    632,248 |    103,588 |    107,325 |    843,161 |
| . (Files)                                                                                                                                                        |          4 |         91 |          5 |          5 |        101 |
| admin                                                                                                                                                            |         24 |      2,567 |          1 |         55 |      2,623 |
| admin (Files)                                                                                                                                                    |          4 |        268 |          0 |          8 |        276 |
| admin\categories                                                                                                                                                 |          3 |        224 |          0 |          4 |        228 |
| admin\inc                                                                                                                                                        |          6 |        559 |          0 |         20 |        579 |
| admin\products                                                                                                                                                   |          3 |        254 |          0 |          2 |        256 |
| admin\reports                                                                                                                                                    |          1 |        166 |          0 |          1 |        167 |
| admin\sales                                                                                                                                                      |          3 |        601 |          0 |          7 |        608 |
| admin\system_info                                                                                                                                                |          1 |        172 |          1 |          8 |        181 |
| admin\user                                                                                                                                                       |          3 |        323 |          0 |          5 |        328 |
| assets                                                                                                                                                           |          2 |      9,487 |         38 |      1,219 |     10,744 |
| assets\css                                                                                                                                                       |          1 |      9,487 |         31 |      1,219 |     10,737 |
| assets\js                                                                                                                                                        |          1 |          0 |          7 |          0 |          7 |
| build                                                                                                                                                            |        104 |     10,754 |      1,210 |      2,362 |     14,326 |
| build\config                                                                                                                                                     |          3 |         48 |          9 |          6 |         63 |
| build\js                                                                                                                                                         |         16 |      2,016 |        364 |        579 |      2,959 |
| build\npm                                                                                                                                                        |          6 |        559 |         79 |         34 |        672 |
| build\scss                                                                                                                                                       |         79 |      8,131 |        758 |      1,743 |     10,632 |
| build\scss (Files)                                                                                                                                               |         37 |      6,051 |        488 |      1,288 |      7,827 |
| build\scss\mixins                                                                                                                                                |          9 |        522 |         51 |        109 |        682 |
| build\scss\pages                                                                                                                                                 |         10 |        497 |         37 |        104 |        638 |
| build\scss\parts                                                                                                                                                 |         11 |         86 |         73 |         32 |        191 |
| build\scss\plugins                                                                                                                                               |         12 |        975 |        109 |        210 |      1,294 |
| classes                                                                                                                                                          |          5 |        815 |         12 |         28 |        855 |
| database                                                                                                                                                         |          1 |        132 |        104 |         53 |        289 |
| dist                                                                                                                                                             |         26 |     59,182 |      1,365 |     11,739 |     72,286 |
| dist\css                                                                                                                                                         |         13 |     55,089 |        129 |     11,002 |     66,220 |
| dist\css (Files)                                                                                                                                                 |          3 |     27,644 |         36 |      5,519 |     33,199 |
| dist\css\alt                                                                                                                                                     |         10 |     27,445 |         93 |      5,483 |     33,021 |
| dist\js                                                                                                                                                          |         13 |      4,093 |      1,236 |        737 |      6,066 |
| dist\js (Files)                                                                                                                                                  |         10 |      3,657 |      1,030 |        692 |      5,379 |
| dist\js\pages                                                                                                                                                    |          3 |        436 |        206 |         45 |        687 |
| libs                                                                                                                                                             |         24 |     13,007 |      2,020 |      2,672 |     17,699 |
| libs (Files)                                                                                                                                                     |          2 |         98 |          4 |          1 |        103 |
| libs\css                                                                                                                                                         |          2 |      6,834 |          8 |      1,200 |      8,042 |
| libs\phpqrcode                                                                                                                                                   |         20 |      6,075 |      2,008 |      1,471 |      9,554 |
| libs\phpqrcode (Files)                                                                                                                                           |         14 |      4,343 |        969 |      1,239 |      6,551 |
| libs\phpqrcode\bindings                                                                                                                                          |          1 |      1,688 |        976 |        212 |      2,876 |
| libs\phpqrcode\bindings\tcpdf                                                                                                                                    |          1 |      1,688 |        976 |        212 |      2,876 |
| libs\phpqrcode\tools                                                                                                                                             |          5 |         44 |         63 |         20 |        127 |
| plugins                                                                                                                                                          |      1,766 |    455,611 |     71,969 |     71,041 |    598,621 |
| plugins\bootstrap                                                                                                                                                |          4 |      7,743 |      1,684 |      2,038 |     11,465 |
| plugins\bootstrap-colorpicker                                                                                                                                    |          4 |      4,020 |      1,419 |      1,234 |      6,673 |
| plugins\bootstrap-colorpicker\css                                                                                                                                |          2 |        321 |         35 |         55 |        411 |
| plugins\bootstrap-colorpicker\js                                                                                                                                 |          2 |      3,699 |      1,384 |      1,179 |      6,262 |
| plugins\bootstrap-slider                                                                                                                                         |          4 |      1,924 |        298 |        306 |      2,528 |
| plugins\bootstrap-slider (Files)                                                                                                                                 |          2 |      1,600 |        215 |        252 |      2,067 |
| plugins\bootstrap-slider\css                                                                                                                                     |          2 |        324 |         83 |         54 |        461 |
| plugins\bootstrap-switch                                                                                                                                         |          6 |      1,410 |         55 |         50 |      1,515 |
| plugins\bootstrap-switch\css                                                                                                                                     |          4 |        674 |         39 |          6 |        719 |
| plugins\bootstrap-switch\css\bootstrap2                                                                                                                          |          2 |        495 |         23 |          3 |        521 |
| plugins\bootstrap-switch\css\bootstrap3                                                                                                                          |          2 |        179 |         16 |          3 |        198 |
| plugins\bootstrap-switch\js                                                                                                                                      |          2 |        736 |         16 |         44 |        796 |
| plugins\bootstrap4-duallistbox                                                                                                                                   |          4 |        852 |         55 |         86 |        993 |
| plugins\bootstrap\js                                                                                                                                             |          4 |      7,743 |      1,684 |      2,038 |     11,465 |
| plugins\bs-custom-file-input                                                                                                                                     |          2 |        131 |         12 |         33 |        176 |
| plugins\bs-stepper                                                                                                                                               |          4 |        497 |         25 |        115 |        637 |
| plugins\bs-stepper\css                                                                                                                                           |          2 |        162 |         11 |         27 |        200 |
| plugins\bs-stepper\js                                                                                                                                            |          2 |        335 |         14 |         88 |        437 |
| plugins\chart.js                                                                                                                                                 |          6 |     26,560 |      4,930 |      5,525 |     37,015 |
| plugins\codemirror                                                                                                                                               |        260 |     50,057 |      5,618 |      5,926 |     61,601 |
| plugins\codemirror (Files)                                                                                                                                       |          2 |      8,107 |      1,041 |      1,004 |     10,152 |
| plugins\codemirror\addon                                                                                                                                         |         68 |      8,020 |        659 |      1,026 |      9,705 |
| plugins\codemirror\addon\comment                                                                                                                                 |          2 |        280 |         19 |         28 |        327 |
| plugins\codemirror\addon\dialog                                                                                                                                  |          2 |        159 |         11 |         27 |        197 |
| plugins\codemirror\addon\display                                                                                                                                 |          6 |        310 |         12 |         40 |        362 |
| plugins\codemirror\addon\edit                                                                                                                                    |          6 |        600 |         67 |         77 |        744 |
| plugins\codemirror\addon\fold                                                                                                                                    |          8 |        686 |         26 |         81 |        793 |
| plugins\codemirror\addon\hint                                                                                                                                    |          8 |      1,215 |        243 |        149 |      1,607 |
| plugins\codemirror\addon\lint                                                                                                                                    |          8 |        508 |         41 |         81 |        630 |
| plugins\codemirror\addon\merge                                                                                                                                   |          2 |        987 |         26 |        114 |      1,127 |
| plugins\codemirror\addon\mode                                                                                                                                    |          5 |        459 |         22 |         60 |        541 |
| plugins\codemirror\addon\runmode                                                                                                                                 |          4 |        640 |         64 |         78 |        782 |
| plugins\codemirror\addon\scroll                                                                                                                                  |          4 |        340 |          6 |         52 |        398 |
| plugins\codemirror\addon\search                                                                                                                                  |          6 |        750 |         48 |         93 |        891 |
| plugins\codemirror\addon\selection                                                                                                                               |          3 |        250 |         11 |         31 |        292 |
| plugins\codemirror\addon\tern                                                                                                                                    |          3 |        693 |         58 |        102 |        853 |
| plugins\codemirror\addon\wrap                                                                                                                                    |          1 |        143 |          5 |         13 |        161 |
| plugins\codemirror\keymap                                                                                                                                        |          3 |      5,828 |        704 |        319 |      6,851 |
| plugins\codemirror\mode                                                                                                                                          |        124 |     25,778 |      2,864 |      3,080 |     31,722 |
| plugins\codemirror\mode (Files)                                                                                                                                  |          1 |        212 |          3 |          7 |        222 |
| plugins\codemirror\mode\apl                                                                                                                                      |          1 |        166 |          2 |          7 |        175 |
| plugins\codemirror\mode\asciiarmor                                                                                                                               |          1 |         68 |          2 |          5 |         75 |
| plugins\codemirror\mode\asn.1                                                                                                                                    |          1 |        186 |          4 |         15 |        205 |
| plugins\codemirror\mode\asterisk                                                                                                                                 |          1 |        185 |         25 |         11 |        221 |
| plugins\codemirror\mode\brainfuck                                                                                                                                |          1 |         67 |         16 |          3 |         86 |
| plugins\codemirror\mode\clike                                                                                                                                    |          1 |        711 |        176 |         49 |        936 |
| plugins\codemirror\mode\clojure                                                                                                                                  |          1 |        254 |          6 |         33 |        293 |
| plugins\codemirror\mode\cmake                                                                                                                                    |          1 |         80 |         10 |          8 |         98 |
| plugins\codemirror\mode\cobol                                                                                                                                    |          1 |        240 |         10 |          6 |        256 |
| plugins\codemirror\mode\coffeescript                                                                                                                             |          1 |        291 |         25 |         44 |        360 |
| plugins\codemirror\mode\commonlisp                                                                                                                               |          1 |        108 |          2 |         15 |        125 |
| plugins\codemirror\mode\crystal                                                                                                                                  |          1 |        347 |         20 |         67 |        434 |
| plugins\codemirror\mode\css                                                                                                                                      |          1 |        798 |          8 |         59 |        865 |
| plugins\codemirror\mode\cypher                                                                                                                                   |          1 |        140 |          4 |          8 |        152 |
| plugins\codemirror\mode\d                                                                                                                                        |          1 |        202 |          3 |         19 |        224 |
| plugins\codemirror\mode\dart                                                                                                                                     |          1 |        142 |          8 |         17 |        167 |
| plugins\codemirror\mode\diff                                                                                                                                     |          1 |         35 |          2 |         11 |         48 |
| plugins\codemirror\mode\django                                                                                                                                   |          1 |        266 |         45 |         46 |        357 |
| plugins\codemirror\mode\dockerfile                                                                                                                               |          1 |        193 |         10 |          9 |        212 |
| plugins\codemirror\mode\dtd                                                                                                                                      |          1 |        116 |          9 |         18 |        143 |
| plugins\codemirror\mode\dylan                                                                                                                                    |          1 |        276 |         44 |         33 |        353 |
| plugins\codemirror\mode\ebnf                                                                                                                                     |          1 |        171 |          9 |         16 |        196 |
| plugins\codemirror\mode\ecl                                                                                                                                      |          1 |        184 |          3 |         20 |        207 |
| plugins\codemirror\mode\eiffel                                                                                                                                   |          1 |        105 |         52 |          4 |        161 |
| plugins\codemirror\mode\elm                                                                                                                                      |          1 |        215 |          2 |         27 |        244 |
| plugins\codemirror\mode\erlang                                                                                                                                   |          1 |        471 |         63 |         86 |        620 |
| plugins\codemirror\mode\factor                                                                                                                                   |          1 |         58 |         23 |          5 |         86 |
| plugins\codemirror\mode\fcl                                                                                                                                      |          1 |        143 |          3 |         28 |        174 |
| plugins\codemirror\mode\forth                                                                                                                                    |          1 |        155 |         12 |         14 |        181 |
| plugins\codemirror\mode\fortran                                                                                                                                  |          1 |        171 |          3 |         15 |        189 |
| plugins\codemirror\mode\gas                                                                                                                                      |          1 |        288 |         17 |         41 |        346 |
| plugins\codemirror\mode\gfm                                                                                                                                      |          1 |        107 |         15 |          8 |        130 |
| plugins\codemirror\mode\gherkin                                                                                                                                  |          1 |        124 |         30 |         25 |        179 |
| plugins\codemirror\mode\go                                                                                                                                       |          1 |        166 |          3 |         19 |        188 |
| plugins\codemirror\mode\groovy                                                                                                                                   |          1 |        212 |          5 |         17 |        234 |
| plugins\codemirror\mode\haml                                                                                                                                     |          1 |        133 |         13 |         16 |        162 |
| plugins\codemirror\mode\handlebars                                                                                                                               |          1 |         52 |          8 |         11 |         71 |
| plugins\codemirror\mode\haskell                                                                                                                                  |          1 |        231 |          3 |         35 |        269 |
| plugins\codemirror\mode\haskell-literate                                                                                                                         |          1 |         37 |          2 |          5 |         44 |
| plugins\codemirror\mode\haxe                                                                                                                                     |          1 |        450 |         13 |         53 |        516 |
| plugins\codemirror\mode\htmlembedded                                                                                                                             |          1 |         32 |          2 |          4 |         38 |
| plugins\codemirror\mode\htmlmixed                                                                                                                                |          1 |        134 |          2 |         18 |        154 |
| plugins\codemirror\mode\http                                                                                                                                     |          1 |         96 |          2 |         16 |        114 |
| plugins\codemirror\mode\idl                                                                                                                                      |          1 |        266 |          8 |         17 |        291 |
| plugins\codemirror\mode\javascript                                                                                                                               |          1 |        875 |         22 |         46 |        943 |
| plugins\codemirror\mode\jinja2                                                                                                                                   |          1 |        129 |          8 |         10 |        147 |
| plugins\codemirror\mode\jsx                                                                                                                                      |          1 |         65 |         73 |         11 |        149 |
| plugins\codemirror\mode\julia                                                                                                                                    |          1 |        346 |         23 |         58 |        427 |
| plugins\codemirror\mode\livescript                                                                                                                               |          1 |        268 |          6 |          7 |        281 |
| plugins\codemirror\mode\lua                                                                                                                                      |          1 |        128 |          6 |         26 |        160 |
| plugins\codemirror\mode\markdown                                                                                                                                 |          1 |        730 |         46 |        111 |        887 |
| plugins\codemirror\mode\mathematica                                                                                                                              |          1 |        118 |         30 |         29 |        177 |
| plugins\codemirror\mode\mbox                                                                                                                                     |          1 |        102 |         11 |         17 |        130 |
| plugins\codemirror\mode\mirc                                                                                                                                     |          1 |        186 |          3 |          5 |        194 |
| plugins\codemirror\mode\mllike                                                                                                                                   |          1 |        326 |          9 |         25 |        360 |
| plugins\codemirror\mode\modelica                                                                                                                                 |          1 |        190 |         14 |         42 |        246 |
| plugins\codemirror\mode\mscgen                                                                                                                                   |          1 |        143 |         13 |         20 |        176 |
| plugins\codemirror\mode\mumps                                                                                                                                    |          1 |        102 |         21 |         26 |        149 |
| plugins\codemirror\mode\nginx                                                                                                                                    |          1 |        150 |          3 |         26 |        179 |
| plugins\codemirror\mode\nsis                                                                                                                                     |          1 |         45 |         31 |         20 |         96 |
| plugins\codemirror\mode\ntriples                                                                                                                                 |          1 |        139 |         39 |         18 |        196 |
| plugins\codemirror\mode\octave                                                                                                                                   |          1 |        104 |          9 |         27 |        140 |
| plugins\codemirror\mode\oz                                                                                                                                       |          1 |        191 |         19 |         43 |        253 |
| plugins\codemirror\mode\pascal                                                                                                                                   |          1 |        120 |          3 |         14 |        137 |
| plugins\codemirror\mode\pegjs                                                                                                                                    |          1 |        103 |          4 |          8 |        115 |
| plugins\codemirror\mode\perl                                                                                                                                     |          1 |        800 |         22 |         16 |        838 |
| plugins\codemirror\mode\php                                                                                                                                      |          1 |        209 |          9 |         17 |        235 |
| plugins\codemirror\mode\pig                                                                                                                                      |          1 |        136 |         24 |         19 |        179 |
| plugins\codemirror\mode\powershell                                                                                                                               |          1 |        343 |          9 |         47 |        399 |
| plugins\codemirror\mode\properties                                                                                                                               |          1 |         62 |          3 |         14 |         79 |
| plugins\codemirror\mode\protobuf                                                                                                                                 |          1 |         51 |          8 |         14 |         73 |
| plugins\codemirror\mode\pug                                                                                                                                      |          1 |        507 |         20 |         65 |        592 |
| plugins\codemirror\mode\puppet                                                                                                                                   |          1 |        155 |         55 |         11 |        221 |
| plugins\codemirror\mode\python                                                                                                                                   |          1 |        319 |         26 |         55 |        400 |
| plugins\codemirror\mode\q                                                                                                                                        |          1 |        133 |          3 |          4 |        140 |
| plugins\codemirror\mode\r                                                                                                                                        |          1 |        170 |          4 |         17 |        191 |
| plugins\codemirror\mode\rpm                                                                                                                                      |          1 |         86 |          6 |         18 |        110 |
| plugins\codemirror\mode\rst                                                                                                                                      |          1 |        457 |         26 |         75 |        558 |
| plugins\codemirror\mode\ruby                                                                                                                                     |          1 |        118 |        176 |         10 |        304 |
| plugins\codemirror\mode\rust                                                                                                                                     |          1 |         60 |          7 |          6 |         73 |
| plugins\codemirror\mode\sas                                                                                                                                      |          1 |        221 |         52 |         31 |        304 |
| plugins\codemirror\mode\sass                                                                                                                                     |          1 |        112 |        319 |         24 |        455 |
| plugins\codemirror\mode\scheme                                                                                                                                   |          1 |        213 |         20 |         33 |        266 |
| plugins\codemirror\mode\shell                                                                                                                                    |          1 |        147 |          4 |         18 |        169 |
| plugins\codemirror\mode\sieve                                                                                                                                    |          1 |        144 |         10 |         40 |        194 |
| plugins\codemirror\mode\slim                                                                                                                                     |          1 |        527 |         10 |         39 |        576 |
| plugins\codemirror\mode\smalltalk                                                                                                                                |          1 |        128 |          2 |         39 |        169 |
| plugins\codemirror\mode\smarty                                                                                                                                   |          1 |        200 |          7 |         19 |        226 |
| plugins\codemirror\mode\solr                                                                                                                                     |          1 |         86 |          2 |         17 |        105 |
| plugins\codemirror\mode\soy                                                                                                                                      |          1 |        518 |         70 |         50 |        638 |
| plugins\codemirror\mode\sparql                                                                                                                                   |          1 |        171 |          2 |         18 |        191 |
| plugins\codemirror\mode\spreadsheet                                                                                                                              |          1 |         96 |          7 |         10 |        113 |
| plugins\codemirror\mode\sql                                                                                                                                      |          1 |        315 |        160 |         29 |        504 |
| plugins\codemirror\mode\stex                                                                                                                                     |          1 |        221 |         16 |         28 |        265 |
| plugins\codemirror\mode\stylus                                                                                                                                   |          1 |        609 |         98 |         69 |        776 |
| plugins\codemirror\mode\swift                                                                                                                                    |          1 |         50 |        166 |          8 |        224 |
| plugins\codemirror\mode\tcl                                                                                                                                      |          1 |        133 |          3 |          5 |        141 |
| plugins\codemirror\mode\textile                                                                                                                                  |          1 |        400 |          2 |         68 |        470 |
| plugins\codemirror\mode\tiddlywiki                                                                                                                               |          2 |        244 |         35 |         45 |        324 |
| plugins\codemirror\mode\tiki                                                                                                                                     |          2 |        296 |          9 |         34 |        339 |
| plugins\codemirror\mode\toml                                                                                                                                     |          1 |         79 |          5 |          5 |         89 |
| plugins\codemirror\mode\tornado                                                                                                                                  |          1 |         61 |          2 |          6 |         69 |
| plugins\codemirror\mode\troff                                                                                                                                    |          1 |         72 |          2 |         11 |         85 |
| plugins\codemirror\mode\ttcn                                                                                                                                     |          1 |        249 |          4 |         31 |        284 |
| plugins\codemirror\mode\ttcn-cfg                                                                                                                                 |          1 |        197 |          4 |         13 |        214 |
| plugins\codemirror\mode\turtle                                                                                                                                   |          1 |        142 |          2 |         19 |        163 |
